"f0-9" "f10-19" "f20-29" "f30-39" "f40-49" "f50-59" "f60-69" "f70-80+" "f80+" "m0-9" "m10-19" "m20-29" "m30-39" "m40-49" "m50-59" "m60-69" "m70-80+" "m80+"
"f0-9" 3.719668 0.6025335 0.4618915 1.508201 0.6990705 0.388764 0.33786 0.157796 0.03303 3.0910915 0.537584 0.1267715 0.620337 0.513627 0.2470425 0.28907 0.0926335 0.03223
"f10-19" 0.6025335 6.810893 0.851457 0.7005215 1.1713705 0.4069985 0.18407 0.302563 0.287765 0.4520145 2.953888 0.558323 0.397136 0.9166285 0.655812 0.207364 0.208351 0.185885
"f20-29" 0.4618915 0.851457 2.374044 1.497964 1.121969 0.992701 0.393626 0.3389815 0.342005 0.4516585 0.422428 1.4926075 1.030827 0.6638665 0.9117805 0.4039085 0.2022205 0.212555
"f30-39" 1.508201 0.7005215 1.497964 2.626351 1.6208495 0.944952 0.5435565 0.29317 0.16825 1.281279 0.4214625 0.5467775 1.978924 1.262397 0.8116545 0.6478005 0.31332 0.194185
"f40-49" 0.6990705 1.1713705 1.121969 1.6208495 2.212108 1.088881 0.4680065 0.414464 0.259895 0.6740085 0.98998 0.477439 0.7211075 1.5415375 1.134964 0.448672 0.4325665 0.449335
"f50-59" 0.388764 0.4069985 0.992701 0.944952 1.088881 1.342233 0.7356425 0.333928 0.115785 0.299535 0.3824065 0.7081365 0.5664095 0.629209 1.255975 0.8238155 0.2898755 0.302555
"f60-69" 0.33786 0.18407 0.393626 0.5435565 0.4680065 0.7356425 1.061344 0.5672485 0.229335 0.269475 0.131027 0.1969555 0.4565225 0.308596 0.2556315 0.887985 0.500125 0.165125
"f70-80+" 0.157796 0.302563 0.3389815 0.29317 0.414464 0.333928 0.5672485 0.871039 0.68379 0.1017205 0.1248775 0.138438 0.159084 0.237827 0.163501 0.4190595 0.7230825 0.58216
"f80+" 0.03303 0.287765 0.342005 0.16825 0.259895 0.115785 0.229335 0.68379 0.14139 0.03687 0.09161 0.14162 0.10088 0.16341 0.14809 0.197805 0.446255 0.07378
"m0-9" 3.0910915 0.4520145 0.4516585 1.281279 0.6740085 0.299535 0.269475 0.1017205 0.03687 4.447427 0.639335 0.139909 0.871382 0.647328 0.2047435 0.2143575 0.074637 0.025175
"m10-19" 0.537584 2.953888 0.422428 0.4214625 0.98998 0.3824065 0.131027 0.1248775 0.09161 0.639335 6.389979 0.54244 0.3965705 0.865235 0.537856 0.1483845 0.1139365 0.17707
"m20-29" 0.1267715 0.558323 1.4926075 0.5467775 0.477439 0.7081365 0.1969555 0.138438 0.14162 0.139909 0.54244 1.777833 1.07358 0.911491 0.880273 0.3202595 0.13959 0.204245
"m30-39" 0.620337 0.397136 1.030827 1.978924 0.7211075 0.5664095 0.4565225 0.159084 0.10088 0.871382 0.3965705 1.07358 2.655559 2.011543 1.010214 0.677981 0.239706 0.08569
"m40-49" 0.513627 0.9166285 0.6638665 1.262397 1.5415375 0.629209 0.308596 0.237827 0.16341 0.647328 0.865235 0.911491 2.011543 2.30535 1.448522 0.5873345 0.3226045 0.224245
"m50-59" 0.2470425 0.655812 0.9117805 0.8116545 1.134964 1.255975 0.2556315 0.163501 0.14809 0.2047435 0.537856 0.880273 1.010214 1.448522 1.68647 0.752266 0.2608685 0.317475
"m60-69" 0.28907 0.207364 0.4039085 0.6478005 0.448672 0.8238155 0.887985 0.4190595 0.197805 0.2143575 0.1483845 0.3202595 0.677981 0.5873345 0.752266 0.896292 0.569317 0.470865
"m70-80+" 0.0926335 0.208351 0.2022205 0.31332 0.4325665 0.2898755 0.500125 0.7230825 0.446255 0.074637 0.1139365 0.13959 0.239706 0.3226045 0.2608685 0.569317 0.550784 0.382635
"m80+" 0.03223 0.185885 0.212555 0.194185 0.449335 0.302555 0.165125 0.58216 0.07378 0.025175 0.17707 0.204245 0.08569 0.224245 0.317475 0.470865 0.382635 0.00426
