"Day" "Dcum" "f0-9" "f10-19" "f20-29" "f30-39" "f40-49" "f50-59" "f60-69" "f70-79" "f80+" "m0-9" "m10-19" "m20-29" "m30-39" "m40-49" "m50-59" "m60-69" "m70-79" "m80+"
200101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
200102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
200103 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
200104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
200105 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
200106 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
200107 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
200108 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
200109 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
200110 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
200111 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
200112 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
200113 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
200114 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
200115 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
200116 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
200117 3 0 0 0 0 0 0 0.526 0.474 0 0 0 0 0 0 0 0 0 2
200118 3 0 0 0 0 0 0 0.526 0.474 0 0 0 0 0 0 0 0 0 2
200119 3 0 0 0 0 0 0 0.526 0.474 0 0 0 0 0 0 0 0 0 2
200120 3 0 0 0 0 0 0 0.526 0.474 0 0 0 0 0 0 0 0 0 2
200121 3 0 0 0 0 0 0 0.526 0.474 0 0 0 0 0 0 0 0 0 2
200122 3 0 0 0 0 0 0 0.526 0.474 0 0 0 0 0 0 0 0 0 2
200123 3 0 0 0 0 0 0 0.526 0.474 0 0 0 0 0 0 0 0 0 2
200124 4 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0 0 2
200125 4 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0 0 2
200126 4 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0 0 2
200127 4 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0 0 2
200128 4 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0 0 2
200129 4 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0 0 2
200130 4 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0 0 2
200131 4 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0 0 2
200201 4 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0 0 2
200202 4 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0 0 2
200203 5 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0.526 0.474 2
200204 5 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0.526 0.474 2
200205 5 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0.526 0.474 2
200206 5 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0.526 0.474 2
200207 5 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0.526 0.474 2
200208 5 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0.526 0.474 2
200209 5 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0.526 0.474 2
200210 5 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0.526 0.474 2
200211 5 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0.526 0.474 2
200212 5 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0.526 0.474 2
200213 5 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 0.526 0.474 2
200214 6 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 1.052 0.948 2
200215 6 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 1.052 0.948 2
200216 6 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 1.052 0.948 2
200217 6 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 1.052 0.948 2
200218 7 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 1.578 1.422 2
200219 8 0 0 0 0 0 0 1.052 0.948 0 0 0 0 0 0 0 2.104 1.896 2
200220 9 0 0 0 0 0 0 1.052 0.948 1 0 0 0 0 0 0 2.104 1.896 2
200221 9 0 0 0 0 0 0 1.052 0.948 1 0 0 0 0 0 0 2.104 1.896 2
200222 9 0 0 0 0 0 0 1.052 0.948 1 0 0 0 0 0 0 2.104 1.896 2
200223 10 0 0 0 0 0 0 1.052 0.948 1 0 0 0 0 0 0 2.104 1.896 3
200224 10 0 0 0 0 0 0 1.052 0.948 1 0 0 0 0 0 0 2.104 1.896 3
200225 12 0 0 0 0 0 0 1.052 0.948 1 0 0 0 0.208 0.417 0.375 2.104 1.896 4
200226 20 0 0 0 0 0 0 2.63 2.37 2 0 0 0 0.208 0.417 0.375 3.682 3.318 5
200227 22 0 0 0 0 0 0 2.63 2.37 2 0 0 0 0.208 0.417 0.375 3.682 3.318 7
200228 24 0 0 0 0 0 0 3.156 2.844 1 0 0 0 0.416 0.834 0.75 3.682 3.318 8
200229 26 0 0 0 0 0 0 3.156 2.844 2 0 0 0 0.416 0.834 0.75 4.208 3.792 8
200301 30 0 0 0 0 0 0 3.156 2.844 3 0 0 0 0.416 0.834 0.75 4.734 4.266 10
200302 39 0 0 0 0 0 0 3.156 2.844 5 0 0.263 0.526 0.627 0.834 0.75 6.312 5.688 13
200303 50 0 0 0 0 0 0 3.682 3.318 6 0 0.263 0.526 0.835 1.251 1.125 8.416 7.584 17
200304 60 0 0 0 0 0 0 4.208 3.792 7 0 0.263 0.526 1.043 1.668 1.5 9.994 9.006 21
200305 69 0 0 0 0 0 0 4.734 4.266 9 0 0.263 0.526 1.043 1.668 1.5 13.15 11.85 21
200306 89 0 0 0 0 0 0 4.734 4.266 14 0 0.263 0.526 1.251 2.085 1.875 18.936 17.064 24
200307 111 0 0 0 0 0 0 6.312 5.688 14 0 0.263 0.526 1.459 2.502 2.25 23.67 21.33 33
200308 135 0 0 0 0 0 0 7.89 7.11 20 0 0.263 0.526 1.459 2.502 2.25 27.352 24.648 41
200309 161 0 0 0 0.208 0.417 0.375 8.416 7.584 22 0 0.263 0.526 1.667 2.919 2.625 34.19 30.81 49
200310 195 0 0.263 0.526 0.835 1.251 1.125 10.52 9.48 30 0 0.263 0.526 2.083 3.753 3.375 37.872 34.128 59
200311 243 0 0.263 0.526 0.835 1.251 1.125 12.624 11.376 39 0 0.263 0.526 3.539 6.672 6 45.236 40.764 73
200312 301 0 0.263 0.526 1.251 2.085 1.875 14.202 12.798 45 0 0.263 0.526 4.579 8.757 7.875 56.282 50.718 94
200313 379 0 0.263 0.526 1.251 2.085 1.875 22.092 19.908 52 0 0.263 0.526 6.451 12.51 11.25 69.958 63.042 115
200314 440 0 0.263 0.526 1.251 2.085 1.875 24.196 21.804 65 0 0.263 0.526 7.491 14.595 13.125 81.53 73.47 132
200315 538 0 0.263 0.526 1.459 2.502 2.25 32.612 29.388 77 0 0.263 0.526 8.947 17.514 15.75 97.31 87.69 164
200316 676 0 0.263 0.526 2.291 4.17 3.75 37.346 33.654 96 0 0.263 0.526 11.443 22.518 20.25 126.24 113.76 203
200317 803 0 0.263 0.526 2.811 5.2125 4.6875 43.658 39.342 123 0 0.789 1.578 13.425 25.6455 23.0625 145.702 131.298 242
200318 947 0 0.263 0.526 2.811 5.2125 4.6875 51.285 46.215 159 0 0.789 1.578 15.713 30.2325 27.1875 167.005 150.495 284
200319 1075 0 0.526 1.052 3.438 6.0465 5.4375 57.597 51.903 190 0 0.789 1.578 16.545 31.9005 28.6875 192.253 173.247 314
200320 1267 0 0.526 1.052 4.062 7.2975 6.5625 63.909 57.591 233 0 0.789 1.578 19.249 37.3215 33.5625 223.813 201.687 375
200321 1410 0 0.526 1.052 4.686 8.5485 7.6875 71.273 64.227 259 0 0.789 1.578 20.705 40.2405 36.1875 248.535 223.965 421
200322 1533 0 0.789 1.578 5.521 9.7995 8.8125 77.059 69.441 292 0 0.789 1.578 21.745 42.3255 38.0625 266.945 240.555 456
200323 1788 0 0.789 1.578 6.977 12.7185 11.4375 91.261 82.239 351 0 0.789 1.578 24.033 46.9125 42.1875 306.395 276.105 532
200324 1997 0 0.789 1.578 7.393 13.5525 12.1875 103.359 93.141 388 0 0.789 1.578 26.321 51.4995 46.3125 339.533 305.967 605
200325 2250 0 0.789 1.578 8.225 15.2205 13.6875 118.087 106.413 452 0 0.789 1.578 28.609 56.0865 50.4375 368.463 332.037 696
200326 2481 0 0.789 1.578 10.513 19.8075 17.8125 128.607 115.893 507 0 0.789 1.578 30.065 59.0055 53.0625 403.179 363.321 768
200327 2737 0 0.789 1.578 11.137 21.0585 18.9375 142.283 128.217 595 0 0.789 1.578 31.729 62.3415 56.0625 434.213 391.287 840
200328 3001 0 0.789 1.578 11.969 22.7265 20.4375 159.115 143.385 684 0 0.789 1.578 33.809 66.5115 59.8125 462.617 416.883 915
200329 3174 0 0.789 1.578 11.969 22.7265 20.4375 170.161 153.339 748 0 0.789 1.578 34.225 67.3455 60.5625 484.183 436.317 960
200330 3479 0 0.789 1.578 13.217 25.2285 22.6875 182.785 164.715 866 0 1.578 3.156 36.314 70.2645 63.1875 515.743 464.757 1047
200331 3747 0 0.789 1.578 13.841 26.4795 23.8125 195.409 176.091 962 0 1.578 3.156 36.73 71.0985 63.9375 544.673 490.827 1135
200401 4055 1 0.789 1.578 14.465 27.7305 24.9375 211.189 190.311 1083 0 1.578 3.156 38.602 74.8515 67.3125 573.603 516.897 1224
200402 4388 1 0.789 1.578 15.297 29.3985 26.4375 226.443 204.057 1219 0 1.841 3.682 39.645 76.5195 68.8125 611.475 551.025 1311
