"Day" "Icum" "f0-9" "f10-19" "f20-29" "f30-39" "f40-49" "f50-59" "f60-69" "f70-79" "f80+" "m0-9" "m10-19" "m20-29" "m30-39" "m40-49" "m50-59" "m60-69" "m70-79" "m80+"
200101 39 1.1112 1.6778 1.578 2.089 2.919 2.625 2.104 1.896 2 3.3336 3.9814 2.63 2.095 2.085 1.875 2.104 1.896 1
200102 80 1.1112 4.5708 7.364 6.282 6.672 6 3.156 2.844 7 3.3336 4.7704 4.208 3.976 4.587 4.125 2.63 2.37 5
200103 109 2.2224 6.2486 8.942 8.163 9.174 8.25 4.208 3.792 11 3.3336 5.5594 5.786 5.441 6.255 5.625 4.208 3.792 7
200104 125 2.2224 6.5116 9.468 9.414 11.259 10.125 5.26 4.74 12 3.3336 5.8224 6.312 6.276 7.506 6.75 5.26 4.74 8
200105 130 2.2224 6.7746 9.994 9.833 11.676 10.5 5.26 4.74 13 3.3336 5.8224 6.312 6.276 7.506 6.75 5.26 4.74 10
200106 132 2.2224 6.7746 9.994 10.041 12.093 10.875 5.26 4.74 13 3.3336 5.8224 6.312 6.276 7.506 6.75 5.26 4.74 11
200107 133 2.2224 6.7746 9.994 10.041 12.093 10.875 5.26 4.74 13 3.3336 5.8224 6.312 6.484 7.923 7.125 5.26 4.74 11
200108 135 2.2224 6.7746 9.994 10.249 12.51 11.25 5.26 4.74 13 3.3336 5.8224 6.312 6.692 8.34 7.5 5.26 4.74 11
200109 138 2.2224 6.7746 9.994 10.457 12.927 11.625 5.26 4.74 13 3.3336 6.3484 7.364 7.114 8.34 7.5 5.26 4.74 11
200110 140 2.2224 6.7746 9.994 10.457 12.927 11.625 5.26 4.74 13 3.3336 6.3484 7.364 7.114 8.34 7.5 5.786 5.214 12
200111 147 2.778 7.745 11.046 11.295 13.761 12.375 5.786 5.214 13 3.3336 6.3484 7.364 7.322 8.757 7.875 5.786 5.214 12
200112 151 3.3336 8.1894 11.046 11.503 14.178 12.75 5.786 5.214 13 3.3336 6.6114 7.89 7.533 8.757 7.875 6.312 5.688 12
200113 153 3.3336 8.4524 11.572 11.714 14.178 12.75 5.786 5.214 14 3.3336 6.6114 7.89 7.533 8.757 7.875 6.312 5.688 12
200114 155 3.3336 8.4524 11.572 11.922 14.595 13.125 5.786 5.214 14 3.3336 6.6114 7.89 7.741 9.174 8.25 6.312 5.688 12
200115 159 3.3336 8.4524 11.572 11.922 14.595 13.125 5.786 5.214 15 3.3336 6.8744 8.416 8.16 9.591 8.625 6.838 6.162 12
200116 163 3.3336 8.9784 12.624 12.344 14.595 13.125 5.786 5.214 15 3.8892 7.3188 8.416 8.368 10.008 9 6.838 6.162 12
200117 172 3.8892 9.9488 13.676 13.182 15.429 13.875 6.312 5.688 15 4.4448 8.2892 9.468 8.79 10.008 9 6.838 6.162 12
200118 176 3.8892 9.9488 13.676 13.182 15.429 13.875 6.312 5.688 15 4.4448 8.2892 9.468 9.414 11.259 10.125 6.838 6.162 13
200119 178 3.8892 9.9488 13.676 13.182 15.429 13.875 6.838 6.162 15 4.4448 8.5522 9.994 9.625 11.259 10.125 6.838 6.162 13
200120 180 3.8892 10.2118 14.202 13.393 15.429 13.875 6.838 6.162 15 4.4448 8.5522 9.994 9.833 11.676 10.5 6.838 6.162 13
200121 189 3.8892 10.8693 15.517 14.7525 17.097 15.375 6.838 6.162 15 4.4448 8.9467 10.783 10.1495 11.676 10.5 6.838 6.162 14
200122 197 3.8892 11.1323 16.043 14.9635 17.097 15.375 6.838 6.162 15 4.4448 9.9987 12.887 11.6175 12.927 11.625 6.838 6.162 14
200123 204 3.8892 11.9213 17.621 15.5965 17.097 15.375 6.838 6.162 16 4.4448 10.2617 13.413 12.0365 13.344 12 6.838 6.162 15
200124 208 3.8892 11.9213 17.621 15.5965 17.097 15.375 7.364 6.636 16 4.4448 10.2617 13.413 12.4525 14.178 12.75 7.364 6.636 15
200125 213 3.8892 11.9213 17.621 15.8045 17.514 15.75 7.364 6.636 16 4.4448 10.7877 14.465 13.2905 15.012 13.5 7.364 6.636 15
200126 222 3.8892 11.9213 17.621 16.5325 18.9735 17.0625 7.364 6.636 16 5.0004 11.7581 15.517 14.0245 15.6375 14.0625 7.89 7.11 15
200127 231 3.8892 11.9213 17.621 17.1565 20.2245 18.1875 7.364 6.636 16 6.0004 12.0211 16.043 14.8595 16.8885 15.1875 8.416 7.584 15
200128 235 3.8892 12.1843 18.147 17.5755 20.6415 18.5625 7.364 6.636 16 6.0004 12.2841 16.569 15.2785 17.3055 15.5625 8.416 7.584 15
200129 246 4.8892 12.9733 19.725 19.0405 22.3095 20.0625 7.364 6.636 16 6.0004 12.5471 17.095 15.6975 17.7225 15.9375 8.942 8.058 15
200130 268 6.0004 15.1771 22.355 20.9275 23.9775 21.5625 7.89 7.11 16 6.556 14.3065 19.725 16.9605 18.1395 16.3125 10.52 9.48 15
200131 293 6.0004 16.4921 24.985 23.0225 26.0625 23.4375 8.942 8.058 18 8.1116 15.2769 20.777 18.2145 19.8075 17.8125 12.098 10.902 15
200201 298 6.0004 16.7551 25.511 23.2335 26.0625 23.4375 8.942 8.058 19 8.1116 15.8029 21.829 18.8445 20.2245 18.1875 12.098 10.902 15
200202 305 6.0004 16.7551 25.511 23.3375 26.271 23.625 9.468 8.532 20 8.1116 16.0659 22.355 19.5755 21.267 19.125 12.098 10.902 16
200203 309 6.0004 17.0181 26.037 23.7565 26.688 24 9.468 8.532 20 8.1116 16.3289 22.881 19.7865 21.267 19.125 12.624 11.376 16
200204 311 6.0004 17.0181 26.037 23.7565 26.688 24 9.994 9.006 20 8.1116 16.3289 22.881 19.9945 21.684 19.5 12.624 11.376 16
200205 313 6.0004 17.0181 26.037 23.7565 26.688 24 9.994 9.006 20 8.1116 16.3289 22.881 20.4105 22.518 20.25 12.624 11.376 16
200206 314 6.0004 17.0181 26.037 23.7565 26.688 24 10.52 9.48 20 8.1116 16.3289 22.881 20.4105 22.518 20.25 12.624 11.376 16
200207 317 6.0004 17.0181 26.037 23.7565 26.688 24 10.52 9.48 21 8.1116 16.3289 22.881 20.6185 22.935 20.625 13.15 11.85 16
200208 318 6.0004 17.0181 26.037 23.7565 26.688 24 10.52 9.48 21 8.1116 16.3289 22.881 20.8265 23.352 21 13.15 11.85 16
200209 321 6.0004 17.2811 26.563 24.1755 27.105 24.375 10.52 9.48 21 8.1116 16.5919 23.407 21.0375 23.352 21 13.15 11.85 16
200210 327 7.0004 17.2811 26.563 24.5915 27.939 25.125 11.046 9.954 22 8.1116 16.8549 23.933 21.2485 23.352 21 13.15 11.85 16
200211 337 7.0004 17.5441 27.089 25.4265 29.19 26.25 11.572 10.428 22 9.1116 17.3809 24.985 21.8785 23.769 21.375 13.676 12.324 16
200212 347 7.0004 17.5441 27.089 25.6345 29.607 26.625 12.624 11.376 22 9.1116 17.6439 25.511 22.5055 24.603 22.125 15.78 14.22 16
200213 352 7.0004 17.5441 27.089 26.2585 30.858 27.75 13.15 11.85 22 9.1116 17.6439 25.511 22.5055 24.603 22.125 16.306 14.694 16
200214 358 7.0004 17.5441 27.089 26.8825 32.109 28.875 13.15 11.85 22 9.1116 17.9069 26.037 22.9245 25.02 22.5 16.832 15.168 16
200215 371 7.0004 17.5441 27.089 28.3385 35.028 31.5 14.202 12.798 22 9.1116 18.1699 26.563 23.5515 25.854 23.25 17.358 15.642 16
200216 382 7.0004 17.8071 27.615 29.1735 36.279 32.625 14.728 13.272 22 9.1116 18.4329 27.089 24.8025 27.939 25.125 17.358 15.642 16
200217 394 8.556 18.2515 27.615 29.7975 37.53 33.75 15.78 14.22 22 9.1116 19.2219 28.667 25.6435 28.356 25.5 17.884 16.116 16
200218 408 8.556 19.0405 29.193 31.0545 38.781 34.875 16.306 14.694 22 9.1116 19.4849 29.193 26.6865 30.024 27 18.936 17.064 16
200219 417 8.556 19.0405 29.193 31.4705 39.615 35.625 16.306 14.694 22 9.1116 20.0109 30.245 27.9405 31.692 28.5 19.462 17.538 16
200220 445 9.556 20.0925 31.297 33.5625 42.117 37.875 16.832 15.168 24 10.2228 21.1627 30.771 30.2315 35.862 32.25 19.988 18.012 16
200221 470 10.1116 21.3259 32.875 35.2355 44.202 39.75 17.884 16.116 24 10.2228 21.6887 31.823 32.1095 38.781 34.875 22.618 20.382 16
200222 496 10.1116 22.9039 36.031 37.7495 46.704 42 18.41 16.59 24 10.7784 22.9221 33.401 33.9905 41.283 37.125 24.196 21.804 16
200223 543 10.1116 25.2709 40.765 41.3125 50.04 45 19.462 17.538 24 12.334 25.9965 38.661 38.1805 45.453 40.875 26.3 23.7 18
200224 609 10.6672 28.6083 46.551 47.7935 58.38 52.5 22.618 20.382 25 14.0008 29.6967 43.395 42.7835 50.874 45.75 27.352 24.648 18
